meta_employer,std_contributions
Google/Alphabet,778551.0684485476
Microsoft,372390.39704603184
Apple,352088.91588089394
Facebook,245572.06156136288
Salesforce,224824.26873807563
Amazon,179049.57690767603
IBM,177931.77543690853
Oracle,105893.40534162668
