country,year,Gender equality Index,United Nations m49 country code,Source
Guatemala,1975,17.55072,320,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guinea,1975,28.26954,324,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guinea-Bissau,1975,32.01296,624,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guyana,1975,41.41965,328,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Haiti,1975,23.23176,332,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Honduras,1975,23.75011,340,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Hungary,1975,61.13103,348,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iceland,1975,51.05145,352,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
India,1975,43.4994,356,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Indonesia,1975,28.00141,360,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iran (Islamic Republic of),1975,25.06044,364,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iraq,1975,17.14625,368,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ireland,1975,45.97035,372,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Israel,1975,67.31011,376,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Italy,1975,53.51974,380,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Jamaica,1975,67.33887,388,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Japan,1975,48.51845,392,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Jordan,1975,20.4207,400,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Kenya,1975,25.72922,404,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Kuwait,1975,13.27313,414,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lao People's Dem. Rep.,1975,28.36006,418,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lebanon,1975,29.32854,422,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lesotho,1975,47.62114,426,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Liberia,1975,25.00627,430,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Libya,1975,20.29249,434,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Luxembourg,1975,59.29796,442,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Madagascar,1975,34.53957,450,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malawi,1975,25.01415,454,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malaysia,1975,35.28249,458,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Maldives,1975,29.68947,462,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mali,1975,30.06116,466,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malta,1975,49.24816,470,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mauritania,1975,27.17695,478,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mauritius,1975,38.32436,480,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mexico,1975,29.09609,484,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mongolia,1975,49.7506,496,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Morocco,1975,25.65362,504,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mozambique,1975,32.1753,508,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Myanmar,1975,21.14571,104,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nepal,1975,18.93794,524,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Netherlands,1975,57.78547,528,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
New Zealand,1975,60.21683,554,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nicaragua,1975,22.09468,558,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Niger,1975,36.06248,562,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nigeria,1975,29.3482,566,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Norway,1975,82.72592,578,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Oman,1975,16.13978,512,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Pakistan,1975,35.88753,586,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Panama,1975,35.98424,591,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Paraguay,1975,18.17297,600,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Peru,1975,24.49525,604,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Philippines,1975,44.47809,608,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Poland,1975,54.96008,616,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Portugal,1975,59.65903,620,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Qatar,1975,14.28231,634,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Republic of Korea,1975,35.25351,410,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Romania,1975,60.68698,642,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Russian Federation,1975,50.64557,643,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Rwanda,1975,28.37001,646,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Saudi Arabia,1975,4.30086,682,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Senegal,1975,42.75033,686,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Serbia,1975,47.22042,688,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sierra Leone,1975,26.36717,694,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Singapore,1975,46.75475,702,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Somalia,1975,11.67014,706,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
South Africa,1975,20.67205,710,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Spain,1975,27.70186,724,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sri Lanka,1975,48.95144,144,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sudan,1975,19.3569,729,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Suriname,1975,44.74737,740,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Sweden,1975,73.44587,752,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Switzerland,1975,57.16412,756,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Syrian Arab Republic,1975,35.70858,760,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Thailand,1975,44.1651,764,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Togo,1975,32.34522,768,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Trinidad and Tobago,1975,40.79944,780,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Tunisia,1975,34.85854,788,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Turkey,1975,38.05591,792,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Uganda,1975,29.05555,800,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
United Arab Emirates,1975,8.10289,784,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
United Kingdom,1975,59.84282,826,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
United Rep. of Tanzania,1975,39.0366,834,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
United States of America,1975,52.90124,840,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Uruguay,1975,48.57882,858,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Venezuela (Boliv. Rep. of),1975,52.7175,862,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Viet Nam,1975,50.9178,704,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Yemen,1975,4.30086,887,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Zambia,1975,35.24733,894,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Zimbabwe,1975,21.29865,716,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Afghanistan,1976,17.14625,004,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Albania,1976,50.41379,008,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Algeria,1976,37.94581,012,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Angola,1976,34.04606,024,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Argentina,1976,42.76775,032,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Australia,1976,60.61344,036,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Austria,1976,55.45091,040,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bahrain,1976,20.40597,048,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bangladesh,1976,42.13684,050,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Barbados,1976,65.96337,052,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Belgium,1976,62.74594,056,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Benin,1976,48.2564,204,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bhutan,1976,32.94276,064,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bolivia (Plurin. State of),1976,23.77169,068,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Botswana,1976,45.73693,072,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Brazil,1976,40.0824,076,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Bulgaria,1976,67.48092,100,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Burkina Faso,1976,39.20805,854,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Burundi,1976,30.05228,108,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cabo Verde,1976,43.01561,132,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cambodia,1976,23.38856,116,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cameroon,1976,24.78102,120,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Canada,1976,59.17265,124,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Central African Republic,1976,33.60992,140,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Chad,1976,25.22939,148,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Chile,1976,23.89933,152,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
China,1976,44.67636,156,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Colombia,1976,31.93786,170,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Comoros,1976,42.77643,174,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Congo,1976,25.06044,178,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Costa Rica,1976,45.59295,188,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cuba,1976,58.60492,192,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Cyprus,1976,42.95087,196,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Czechia,1976,56.64073,203,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Côte dIvoire,1976,36.6873,384,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dem. People's Rep. Korea,1976,43.96352,408,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dem. Rep. of the Congo,1976,23.65575,180,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Denmark,1976,82.89809,208,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Dominican Republic,1976,23.29164,214,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ecuador,1976,17.16227,218,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Egypt,1976,24.42224,818,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
El Salvador,1976,24.32876,222,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Equatorial Guinea,1976,17.81131,226,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Eswatini,1976,38.19795,748,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ethiopia,1976,16.1445,231,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Fiji,1976,30.22667,242,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Finland,1976,66.25797,246,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
France,1976,57.92924,250,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Gabon,1976,32.92501,266,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Gambia,1976,27.87371,270,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Germany,1976,64.02307,276,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ghana,1976,42.18776,288,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Greece,1976,54.32349,300,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guatemala,1976,17.88724,320,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guinea,1976,28.26954,324,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guinea-Bissau,1976,32.44442,624,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Guyana,1976,41.41965,328,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Haiti,1976,23.67554,332,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Honduras,1976,23.75011,340,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Hungary,1976,61.13103,348,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iceland,1976,51.05145,352,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
India,1976,43.4994,356,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Indonesia,1976,28.00141,360,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iran (Islamic Republic of),1976,25.06044,364,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Iraq,1976,17.14625,368,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Ireland,1976,45.97035,372,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Israel,1976,67.31011,376,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Italy,1976,54.02348,380,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Jamaica,1976,67.76846,388,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Japan,1976,48.51845,392,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Jordan,1976,21.16433,400,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Kenya,1976,25.72922,404,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Kuwait,1976,15.02597,414,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lao People's Dem. Rep.,1976,39.94943,418,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lebanon,1976,29.32854,422,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Lesotho,1976,47.62114,426,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Liberia,1976,25.00627,430,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Libya,1976,20.29249,434,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Luxembourg,1976,59.29796,442,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Madagascar,1976,37.64414,450,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malawi,1976,25.01415,454,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malaysia,1976,35.67263,458,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Maldives,1976,30.90969,462,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mali,1976,30.06116,466,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Malta,1976,49.04872,470,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mauritania,1976,27.17695,478,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mauritius,1976,40.33974,480,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mexico,1976,29.7055,484,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mongolia,1976,49.7506,496,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Morocco,1976,28.84325,504,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Mozambique,1976,37.92315,508,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Myanmar,1976,21.14571,104,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Nepal,1976,18.93794,524,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
Netherlands,1976,57.78547,528,Gapminder Fastrack Indicators. Updated March 27 2023 http://gapm.io/ddemocrix_idea
